sentiment,author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
negatif,@MicoDub-lr3ou,Hape mahal jelek.  Buka. Android juga.  Enak android bisa nuat nuyul hapemya ğŸ˜…,2024-11-16T08:06:45Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@Audriana-em3zi,kalo video mah mending i phone atau samsung memang,2024-11-13T02:39:25Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@devilbaldbull,Kapan yah yg resmi indo,2024-11-12T13:11:06Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@maelatulazizah965,Huawei pura 70 ultra belinya dimana? Keknya jarang yah di Indonesia ada,2024-11-08T16:43:00Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Gembosmu,Pengen bang tpi gk punya duit,2024-11-07T07:20:20Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@bxrxxy,pura70 rasa pura2x,2024-11-04T07:15:39Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Asrian0801,Intinya Huawei dipersulit amerika karena produk nya terlalu bagus,2024-10-30T12:27:54Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@ArmanManto-ks7ql,Alasan huawei di jegal AS knp ya,2024-10-27T05:12:32Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@adisr2435,OVERPRICE SEMUA HP HP BEKAS NYA AJA SOK MAHAL SEMUA. Design nya JELEK NAMANYA ANEH,2024-10-27T01:08:29Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Feris.E,"Akhirnya... Setelah sekian lama gak pernah merasakan begitu pengennya sama smartphone..Terkahir pernah sangat2 ngiler itu pas jaman Lumia 950 dan P30 pro. Desainnya, fitur nya, hardware nya, software nya... Benar2 masterpiece. Bukan cuma smartphone yg unggul di satu sisi dan mengorbankan sisi2 yg lain. Anyway, Lumia 950 sudah dilelang ke rekan penggemar fotografer karena unsur nostalgia. Tapi P30 pro masih ada dan masih mulus berfungsi normal. Layar masih cling, kamera masih sangat mumpuni, bodi masih mulus, hardware belum pernah servis atau bongkar, batre masih bertahan seharian pemakaian normal, cuma software aja yg udah mulai ngap2 an karena gak ada update. ğŸ˜",2024-10-26T05:19:38Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@azizcreative97,Kualitas mic sih HUAWEI boleh juga minim noise,2024-10-26T04:10:02Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@sufianto8603,"Expectasi saya terlalu tinggi utk hasil kameranya,, ternyata masih lebih bagus vivo v30ğŸ˜‚ğŸ˜‚ğŸ˜‚",2024-10-25T10:40:38Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@YogaWidianto-v2j,Gila emang huawei.... biarpun di gembosin  dmn mn oleh mamarika cs...tp ttp maju....dan produk produknya bkn kaleng kaleng....,2024-10-23T01:16:25Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@Thedevildark999,"saya liat di review lain ya, vivo x100 ultra, xiaomi 14 ultra dan huawei pura ini, JELEK BNGET HASIL HUAWEI YG PURA INIğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚",2024-10-22T16:08:44Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@abbebudiman4349,Sudah nongkrong di sertifikat postel....kyknya akhir taun paling telat awal tahun depan ..mulai dijual resmi di Indonesia,2024-10-21T04:03:10Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Taskiman,Lagian untuk aplikasi asia sebagian besar audah mendukung Huawei kan?,2024-10-18T11:33:08Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@MasOne88,katanya kamera terbaik tp kok paling jelek  itu huawei?,2024-10-17T08:37:39Z,1,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@ErikaYulieyanti,Huhuhudulu paling suka hp hwaweiii,2024-10-16T13:32:45Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@RonkzGradienceHarmony,saya nonton video ini pakai huawei p9 lite (kirin 650) lancar no lag.,2024-10-15T11:53:51Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@MilaYushi,"Definisi camera iphone , battery Samsung . Minus google, yg kalo zaman sekarang apa-apa google, jadi pikir panjang dulu,apalagi pihak ketiga ga menjamin keamanan nya.",2024-10-13T03:47:33Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@harryn4405,"kamera samsung , audio rekaman iphone  , huawei msti kalah",2024-10-11T16:39:04Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@cutenktok1847,dari 3 hp tadi. kameranya. bagusan sony xperia pro i,2024-10-11T06:12:55Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@NinikSusanti-qy9cv,Kalo beli dimana ko David,2024-10-08T09:21:12Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@oka87hardiyanto,"aq tetep suka brand smartphone iphone dan Google pixel lainya itu kurang puas,,hehehe paling gak iyh iphone 16 pro atau Google Pixel 9 pro XL",2024-10-07T22:09:47Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@bibiw_siaran26,Wkwkkw samsung tetap terbaik yak ğŸ˜‚ğŸ˜‚ğŸ¤£ğŸ¤£,2024-10-07T15:54:58Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@MisnayaSahur-o6i,Kamera huawei mate 30 pro aja udah wah aplgi ini,2024-10-07T01:50:17Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@RadenArloji-m5j,Brand terkuat di bumi..sy punya huawei p10 dri 2017 masih awet njir baterainya...no drop no drop...untung masih pke google play store wkwkw,2024-10-06T23:57:11Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@alizainalabidin-y5e,Gue tetep Samsung si,2024-10-06T16:12:17Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@AlFajri-ro9ln,Bang huawei bisa main GTA San Andreas sama Mobile Legend nggak bang??,2024-10-04T13:56:37Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@amirulmuktamar975,Tes masukin kartu 5 g cba bang,2024-10-02T12:15:14Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@audricferrell9278,"Buat video enak iphone ya, suaranya lebih jelas dan jernih, kalo foto aja lebih bagus samsung",2024-10-01T07:04:45Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@tonydharmawan4706,Servis center ada gk ya di indonesia,2024-09-30T03:13:36Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@SupratoSuprato-j3u,Lebar layar berapa inci bos,2024-09-26T12:16:40Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@rian9050,"Sy pakai huawei dr jaman P9 sampe skrng mentok dulu di mate 30 pro 5g beli dr 2019 sampe skrng masih sangat kepake, Os udh dipindah ke harmony dr thn 2020an. Sempet sedih bbrp th pake hp ini, skrng alhamdulillah udh lengkap smua : udh bisa google notif ga delay dan 5g telkomsel ngebut, kamera smooth ultrawide 4k 60fps",2024-09-23T17:10:05Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@habibiskandar2204,samsung sedep bngt look hasil kameranya aslii,2024-09-22T16:19:07Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@asmirsamirin,"klo aq sih setia sama iphone,",2024-09-22T12:44:49Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@DanielMasiku-k4s,Tetap s24 ultrağŸ¥¹,2024-09-22T00:11:32Z,1,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@adensaja2064,NONTON DOANG BELI KAGAK.. GITULAH SAYA ..ğŸ˜…ğŸ˜…,2024-09-21T18:11:31Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@HalimatusSadiah-ov5sc,"Soal vidio huawei kalah di karnakan mesin hp tersebut belum maxximal seperti snapdragon atau    appel byonix, SOC yg di hasilkan tidak maksimal,coba aja huawei pake snapdragon di kasih google dan leica balik pasti udah keteteran iphone sama samsung ğŸ˜‚,yg jelas samsung dan appel emang kerja sama buat jatuhin huawei,tapi good job buat huawei bikin semuanya sendiri tampa di bantu si A si B itu sudah hebat,beda dengan yg lain masih beli dan sewa sana sini",2024-09-21T15:14:12Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@gun_joel,Hp jadul sony cyber shoot canggih bgt brati ya ğŸ¤£ğŸ¤£ kipas angin putaran kenceng aja bisa freeze,2024-09-20T06:00:18Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@PRETEL_MS,"sekarang msh pake huawei nova 5t.
semoga besok bisa ganti flagship nya huawei.
huawei the best dah... ğŸ˜ğŸ‘ğŸ‘",2024-09-18T12:26:09Z,1,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@jayvr9888,Untuk kamera kali ini lebih nyaman samsung sih,2024-09-18T01:00:03Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@safirafebymilinnia532,Samsung thebest bgt si,2024-09-17T10:34:44Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@MilonTelicom-i6h,Huawei best,2024-09-13T11:55:14Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@jessymarleen3284,"Kalo ada googlenya sumpah deh. Guwe beli. Kmrin lihat di hotel Mercure Idustry banyak orang orang cina, dengan PD nya nenteng pura dan mereka pakek pura semua ada sekitar 4 excutive makek pura",2024-09-12T09:48:30Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@rahmat_Abadi,Liat revew di aplikasi china tentang huawei pura70 ultra. Ni Hp di lempar dari lantai dua dan gk ada pecah2ğŸ˜‚,2024-09-11T02:58:56Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@SyahRasyaFF12345,masi mau bilang iPhone camera all hape?ğŸ˜‚ğŸ˜‚,2024-09-09T13:47:41Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@dream75272,bang boleh minta huawei pura 70 ultra,2024-09-07T10:25:47Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@dream75272,boleh minta hp nya gk bang,2024-09-07T10:25:32Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@tinjuindoupdate,Iphone 15 pro max + samsung s24 ultra si the best,2024-09-07T02:19:43Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@leeyanto7486,Udah bisa google belum bang?,2024-09-06T13:15:43Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Risa_ros,Sebenarnya pgen bgt punya Huawei ğŸ˜¢.. apalah daya uang tak smpe.. pke vivo beli dari 2019 ..,2024-09-06T11:32:19Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@baikulfha,tunggu ja 3thun psty drop ko,2024-09-04T10:17:14Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@baikulfha,kayak tecno,2024-09-04T10:16:53Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@HetrizalKhatib-uo5pg,Ternyata belum ada lawan camera vivo x100 pro,2024-09-03T07:34:51Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@bara_lie,"Setuju banget, kekurangan Huawei selalu panas hp nya",2024-09-03T00:37:46Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@Adzivanation,"Kalo diliat"" kamera terbaik yg sebenarnya samsung sih, kalo microphone iphone lebih jelas suaranya",2024-09-01T23:13:34Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@kikirasyid4258,"Masih aj kamera ipone dibikin perbandingan
Padahal ud jelas2 kalah design yg gitu2 aja dibanding brand lain dan kamera juga jelas klah dari samsungğŸ˜‚
IponeiponeğŸ˜‚",2024-08-31T17:06:06Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@freddychristian2744,Kok saya lebih senang ke samsungnya ya,2024-08-31T10:03:15Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@saktetahe6667,mesin nya spek kecepatan biasa tpi kok bisa handle berat gitu maksimal banget berati sistemnya ya. gak di batesin dari google,2024-08-28T11:02:15Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@donisetiadi5010,Samsung menang mutlak sih kalo soal kamera,2024-08-28T07:31:17Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@Langga-hh5jn,chipset nya maksağŸ˜¢,2024-08-28T03:25:38Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@mohammad_hamka,Samsung  the best  no debatğŸ˜,2024-08-21T18:22:37Z,1,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@NyarisTamvan09178,"Ntah knapa, enakan hasil kamera pixel dahh ğŸ˜…",2024-08-20T14:10:10Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@iipsyarip-kh6ux,Kalau sy samsung camera lebih ok,2024-08-20T10:25:25Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@natsudragneel57,Huawei yg ni bisa aja adu sama Samsung flagship atau iphone 15 series tapi kelemahan terbesar iaitu gak ada gms...ğŸ¤£ğŸ¤£ğŸ¤£,2024-08-18T13:19:02Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@maelatulazizah965,Secondnya berapa yah?,2024-08-17T06:21:14Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@Alungmay05Alung05,Ttep smsung 24 ultra soal kamera mh jos,2024-08-16T16:23:50Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@samitkas,"Dulu awalnya coba coba pakai Nova 9, lanjut ke P40 Pro, sekarang di Mate 40 Pro. ğŸ˜‚ dan masih ngerasa se flagship itu seri Mate. Mau game mau foto semua dilibas sudah makan dari 2021 ğŸ˜…",2024-08-13T14:29:28Z,2,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@kingrancapaction1869,Kalo beli olshop terpercaya dmna si,2024-08-12T07:44:13Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@borisboris5667,Nonton pke p40 pro.... Sepertinya hasil foto masih lebih bagus p40pro,2024-08-10T04:04:15Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@pemulungjalanan3241,Goxil emang s4ultra. Ip15promex aja dilibas,2024-08-09T22:34:01Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@beyourgord,Saran yg gak mau ambil pura 70 ultra ambil aja oppo reno 12 pro layarnya mirip2 tuh,2024-08-08T07:54:28Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@asalnulis1160,keren ne HPğŸ˜®ğŸ˜®,2024-08-07T17:49:54Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@naufalmuhammad1271,huawei jelek amat buat harga segituan,2024-08-06T12:21:49Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@ortamao1312,Huawei nova 5t aja masih bagus sampe skrg apalagi iniğŸ¤¤ğŸ¤¤ğŸ¤¤,2024-08-05T18:34:14Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@qontolterbank4762,mantab bang,2024-08-05T15:42:54Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@Andrarr-fz2pq,kira2 iphone lewat gak ni,2024-08-05T10:39:15Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@sunrevolver,Duh kameranya nga bisa dipake buat poto diam2 soalnya nonjol,2024-08-03T13:11:29Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@sunrevolver,Uda ada Kunlun Glass.. saya nunggu Huashan GPU Peach Blossom Sword v72,2024-08-03T13:03:27Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@verisyafputra2206,Phone paling best....blum ada lawan,2024-08-02T06:29:58Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@rizkimaulana2501,"tetap samsung bg juaranya, gua mantan ip15 skrg megang samsung s24u",2024-08-01T03:32:37Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@ear_tainment8515,Tim huawei nova 5T sdh jalan 4th lbh ğŸ”¥,2024-07-30T17:08:03Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@hendrakasumi,Telep aja Huawei,2024-07-30T15:51:25Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@eshalevalchannel4745,Samsung jawara kameraâ€¦,2024-07-30T13:46:51Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@amalpalilati4501,Huawei mending blajar lagi ğŸ¤£,2024-07-29T16:18:12Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@hilalhamdi4587,mending ipğŸ˜,2024-07-28T08:37:02Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@danranata,Coba tes game caxstreet bng,2024-07-28T02:12:10Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@Xavy6868,"cuman bisa nonton ga bisa beli, tapi bersyukurlah sekarang hp yang gw pegang huawei nova 8 kameranya bening bget minus ga suport gugel
ama ime nya di blokir",2024-07-27T00:24:15Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@qurmutberkah,Kapan Indonesia Punya produk smartphone yang bakalan direview sama tim gadgetinğŸ™‚,2024-07-26T22:42:46Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@adrian8700,Samsung s24 ultra luar biasa iPhone ketinggalan jauh,2024-07-26T12:20:49Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@AndraDefarianRoblox,selera saya scra kseluruhan di antara 3 itu ada di iphone 15 pro.,2024-07-25T02:50:17Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@apep4810,"Serius nanya, tablet Huawei tuh beredar resmi di Indonesia, bahkan ada storenya, kenapa untuk HP nya engga ya?",2024-07-24T15:13:01Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
netral,@kasimadonara4294,Hadir nyimak bang,2024-07-24T10:31:25Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@Nugroho_adhii,Coba Ada GMS nya pasti laku keras,2024-07-24T04:15:39Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@dasriwal,Makasih,2024-07-21T02:03:26Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@RIYANTUMEL,Emang huawei gak pernah gagal buat produk totalitasğŸ‰,2024-07-11T06:54:36Z,1,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@ikh1634,"tetep samsung yg bagus, pas video ga terlalu melengkung-melengkung kayak huwawei dan iphone",2024-05-27T07:19:40Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@im_arby3927,nice,2024-05-27T06:56:11Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
positif,@tikatiwit2,"akhirnya huawei ngeluarin smartphone lagi dengan  kamera yang luar biasa, keren banget kamera yang bisa keluarnya",2024-05-27T05:42:35Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
negatif,@aryaapaa,samsungg bagus hangett woyyyyy,2024-05-27T05:42:41Z,0,Huawei Pura 70 Ultra,Huawei,Flagship,18-Apr-24
