author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date;;;;;;;;;;;;;;;;;;
@NEVER-EX1STED;Kepo banget gw , kuat main game pou gak;netral;2024-11-16T18:26:15Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@vaultboy8977;Itu yg belakang kok lensanya kyk ada 4.. tpi katanya triple camera, terus yg 1 itu apa?;netral;2024-11-16T13:26:18Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@muhammadreza7177;kameranya duh ampun ko;netral;2024-11-12T15:54:12Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@mhdrizky9174;Mnding dimensity di vivo??;negatif;2024-11-12T12:06:31Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@foxtrotsix1334;Semua akan xiaomi pada waktu nye;positif;2024-11-12T11:47:29Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@aryyudianto2169;Belinya nunggu THR cair??;netral;2024-11-12T08:07:21Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@gussurya2805;Sebagai pengguna Xiaomi 14 saya rasa jangan upgrade dulu lah??;negatif;2024-11-12T06:44:41Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@arifinabdul3965;gokil sampe 4 lebih Ghz;positif;2024-11-11T19:30:39Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@dwisahrulsetiawan4840;Bandinging x14 dg x15 bang .. rencana mau upgrade kalo emang upgrade nya kerasa banyak.;netral;2024-11-11T14:39:54Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@cmfad7427;Xiaomi 15 Ultra kunantikan Feb 2025???;negatif;2024-11-11T13:56:11Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Wahyu98nada;Sama redmi 14T Bagus mana koh???;netral;2024-11-10T16:05:55Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@jojonprabusirna8516;14t baru nongol , ujug2 ada yg 15 ?? deuh makin bingung mau yg mana;netral;2024-11-10T13:00:19Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@DeanEkadanta;baru rencana beli 14T pro,, 15 udah direview hahaha;netral;2024-11-10T12:55:37Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ikifebriyan;"udah mah beli udah okeh banget eh penyimpanan cuma 256gb sayang aja gitu hp belasan jt cuma dapet 256??
akhirnya beli iqoo 12";negatif;2024-11-10T11:06:21Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@MeongOyenBar2;Hardware udah bagus tp desain belakangnya msh ga banget. Ayo donk jgn hanya riset di hardware n software aja, desain juga di riset;negatif;2024-11-09T02:55:15Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@sho_tv;Xiaomi bagus, tapi iklan?;netral;2024-11-08T15:28:40Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ninjasamurai6094;sebel xiaomi after sales service nya jelek banget, dulu pakai xiaomi. sekarang gak lagi.;negatif;2024-11-08T14:38:18Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@RahmatJuniHaryanto3R;walaupun beda usia, mending S23 gak sih? kalau ukuran compactnya dapat banget terus harga mirip2;negatif;2024-11-08T12:04:05Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@GuideFs;Video malam pake 60fps aja bg biar ilang jitternya;netral;2024-11-08T10:01:49Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@TrisnoDevinisi;Harga berapa;netral;2024-11-08T09:39:07Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@riszalandriyanto1021;Semoga gak seperti xiaomi 14 yang kebagian kamera ngembun;netral;2024-11-08T08:29:10Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@newmemes999;Siippp, udah jadi salah satu daftar hp impian yang ke 21;positif;2024-11-08T05:51:48Z;2;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@sabrinadwigu7788;berapa harga;netral;2024-11-08T05:33:30Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@TairaEndless;Segini dibilang compact ya? Kalau Zenfone 10, Galaxy S23, S24, itu apa dong?;netral;2024-11-08T01:46:00Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@victorparetta9942;masih dibantai mediatek dimensity 9400??????;netral;2024-11-08T00:58:25Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@cahyoh.harimurti8554;Keren. Tapi bentuk dan spek masih relatif ga jauh beda dgn Xiaomi 14. Jadi kali ini skip dulu, masih sayang pake Xiaomi 14.;negatif;2024-11-07T15:37:09Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@zal7289;Hp premium dari xiaomi.. Otw jual iphone dan beli ini.;positif;2024-11-07T14:17:26Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@rahmanyt1812;Hp idaman Xiaomi 15 pro , amin ?? siap2 nabung lagi ? (iPhone keuntungan gede, bayar pajak sulit ??);positif;2024-11-07T13:48:43Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@wisnuardian18;Duh bimbang,nabung buat xiaomi 14 apa yang 15 ????;positif;2024-11-07T13:27:16Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@YB-sv2tb;Bg main game nyaman gk dg ukuran segitu ?;netral;2024-11-07T12:27:10Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@zoku5151;lagi pake yang xiaomi 14, jujur puas bgt apalagi udah di oprek posisi di elite hyper rom. kamera nya bagus bgt walaupun harus mainin ev dikit kalo di low light, yg agak deal breaker sih ultrawidenya blm auto focus, pindah dari xiaomi mi 11 ultra yg ada auto focus agak kerasa bedanya. berharap yg 15 reguler ada autofocus ternyata masih blm ada yg varian biasa ??;netral;2024-11-07T12:09:37Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@asaneketo-w1k;"desain kameranya kureng
lebih bagus vivo x200 mini";negatif;2024-11-07T10:36:14Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@mehmedas1894;Belum 14 punya dah muncul aja 15 Xioami;netral;2024-11-07T09:13:58Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ArisAris-bz2dx;Tetap minim kalo ga dual speacker.. He ha he..;negatif;2024-11-07T08:49:01Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@campursarimania;masih setia dengan MTK sejak Cross A7* Andromeda;negatif;2024-11-07T07:33:05Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Joyaslam7788;lgi review HP kentang;negatif;2024-11-07T03:50:24Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@tamago_yaki;Lagi galau mau beli xiaomi 14, 14t, 14pro.. tiba2 muncul xiaomi 15 jirlah;positif;2024-11-07T03:42:50Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@comfortproduction;Nah ini;netral;2024-11-06T22:12:01Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@faturrahmanfadil8061;Link beli xiaomi 15 nya mana bg, tertarik juga nih buat beli;positif;2024-11-06T16:15:41Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@egaadhita5921;Kalau hp ini dan vivo X200 pro mini masuk Indonesia, gw akan dengan senang hati beralih dari ip 15 ??;positif;2024-11-06T15:44:41Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@diahkusumahartina7075;Wah ada warna putihnya ??;positif;2024-11-06T14:07:11Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@panggil_ajamarr;mending beli xiaomi 14tpro sekarang atau nunggu xiaomi 15 rilis di indo?;netral;2024-11-06T12:36:56Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@tipsseputarcaracepatkaya9951;3:07 Xiaomi 15 terlihat lebih TINGGI KIRIS.;netral;2024-11-06T11:45:32Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@BrainRaises;Mau beli, tapi kayaknya nunggu xoaomi 16 aja deh;negatif;2024-11-06T11:27:20Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@LiuqiLiuqi;GG sih ini HP idaman ??;positif;2024-11-06T09:17:29Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@fahmimuhammad7606;anjir soundeffectnya rame bener bikin ga betah nonton wkwkw;negatif;2024-11-06T07:07:42Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@bangscout_27;Xiaomi basicnya udah hp gaming;netral;2024-11-06T06:55:35Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@angidou792;Aduh model kameranya kayak kompor 4 tungku;negatif;2024-11-06T06:51:33Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@bangscout_27;Apa perbedaan antara xiaomi 15 pro sama xiaomi 15 ultra?;netral;2024-11-06T06:44:46Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ElgiPrayogi-fe1qu;Gw liat harga Xiaomi 15 di tokped 15jt;netral;2024-11-06T06:42:10Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@FirzhaY;"Masih gaterima Snap 8 Elite ini, Clock speednya ngalahin Ryzen 7 5000 Seriesku??

Walau cuma beda tipis sih, 4.3Ghz vs 4.32Ghz, mau ngalahin PC nih mereka wkwk";negatif;2024-11-06T05:48:02Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@huseinmuhammad9741;Untuk microphone wireless nya gmn Ko? Apakah suaranya mendem kena reduction seperti di xm 14 atau uda fix jernih?;netral;2024-11-06T05:42:42Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@aditsyah9013;Untung ngg kaya 14 t seies??;positif;2024-11-06T05:29:50Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@edzen6122;camera nya bner2 bagus pake banget2;positif;2024-11-06T03:08:06Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Cristiano_07_98;Mau jual supra bapak pun...ttp gk kebeli hp ini??????;negatif;2024-11-06T02:46:30Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@rifaifai2587;Ni hp melaju kedepan;positif;2024-11-06T02:41:24Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@diegojehezkiel;Maih tetap Samsung di hati.;negatif;2024-11-06T02:20:44Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@yie2931;"kira"" nanti brapa ya hargaxa";netral;2024-11-06T02:03:50Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@KoswaraVerstappen;buseh, 14 aja belum kebeli. ini udah mau keluar 15.;netral;2024-11-06T02:03:01Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@noverdyerfianto9676;Untung belom beli Xiaomi 14..nunggu ini aja deh?? lebih mantap kayaknya;positif;2024-11-06T01:32:56Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@arangitem5468;Wah gila sih ini 2x 4 Ghz tapi dingin ??;positif;2024-11-05T23:49:42Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@gankz217;Kapan nih rilis di Indonesia Xiaomi 15.?;netral;2024-11-05T23:00:27Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Andrew-fx5js;"Bayangin kalo xiaomi ga pake HyperOS/miui??
Pake stock rom android, atau apa kek anj asal ga HyperOS/MIUI.

(Ga ada rom yg lebih ampas dari HyperOS/MIUI)";netral;2024-11-05T22:53:34Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@mnofrizal;Desainnnya gada beda sama x14 ??;negatif;2024-11-05T21:22:57Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@wakkeling5453;4:08 apapun chipsetnya,kalo pake hyperOs pasti hape puanas,batre buoros ??????;negatif;2024-11-05T19:52:47Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@adjiherlana2593;Semoga di bawah 5jt hehe;netral;2024-11-05T19:25:16Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ElHafidz-m8v;Masih tetap nunggu x200 pro launch di Indo... Lagi ngincer banget ni hp;negatif;2024-11-05T18:58:28Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@YudaArimbawa;penyakit di kamera seri sebelumnya masih ada ga bang?? coba dong di test hehe;netral;2024-11-05T18:42:44Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@verifyatna5334;keren sih sekarang hp2 android terutama brand cina, batrenya udah diatas 5000mah. bahkan rilmi gt 7 pro aja 6500mah dgn layar 6.7inch meanwhile aipon 6.9inch batre ga sampe 5000mah ha ha ha ha. udah gitu BH nya gampang bgt nurun ha ha ha;netral;2024-11-05T18:42:28Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@abbieghazali;Designnya bosen;negatif;2024-11-05T18:32:56Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
