author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date;;;;;;;;;;;;;;;;;;
@SunceD.monkey;Kamera masih ber embun kaga bang?;netral;2024-11-05T18:29:16Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@jeckoIchi170896;Seperti biasa 256;negatif;2024-11-05T18:05:28Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Maximalistt;Kamera nya makin bagus aja Xiaomi.. gokil;positif;2024-11-05T17:20:22Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@AgusRustiani-uh2wg;Cakep bet bezzelnya sayangnya masih ada satu titik kamera, kamera underdisplay ga tau tuh gimana nasibnya ??;netral;2024-11-05T16:53:05Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@sva07;duh ngiler, tp lg bokek;positif;2024-11-05T16:50:51Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@afan_afa;Perpindahan kamera nya kok masih patah”;negatif;2024-11-05T16:36:39Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@wewegombellreload;Kualitas audionya terlupakan ??;negatif;2024-11-05T16:28:41Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ukhtihij_up3531;Kaum mendang mending wort it gak beli hp ini??????;netral;2024-11-05T16:24:30Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@titosasmi8264;Gak ada yg permasalahanin model kameranya ini, padahal mirip kaya 14t;negatif;2024-11-05T16:12:08Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@massefri;Harga berapa ekang xiaomi 15;netral;2024-11-05T16:09:01Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@MikoTiki-r8g;Aduuh model kamera belakangnya enggak banget ??;negatif;2024-11-05T16:07:52Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@egisparta0819;Knp sampe skrang xiaomi ga bis hadle jitter di video low light nya yak. Kecewa??;negatif;2024-11-05T15:40:40Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@rohmanyusuf-tdr;3:09 tingginya di bawah 155 keren si;positif;2024-11-05T15:38:19Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@syalsyahsyafaath;Takut si masalah matot gara gara cooling sistem nya;negatif;2024-11-05T15:35:41Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Yoshimura_69;Gilak. Ngeri kali chipsetnya ??;positif;2024-11-05T15:32:49Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@MuhammadIqbal-yl2rj;Tentang charging nya ga di bahas bang? Wireless charging nya katanya magnetic ya? Padahal itu fitur menarik banget loh;netral;2024-11-05T15:25:32Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@imranrosadi6004;Busett dah kameranya menurutku jauh banget peningkatannya;positif;2024-11-05T15:10:33Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@YuniBrilink;Belum worth it untuk upgrade kalau gitu..;negatif;2024-11-05T14:54:17Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@entegaming10;Busssett gahar tapi adem...gila sih ini;positif;2024-11-05T14:36:08Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@RadenFikiYT;Ciri khas baru mungkin xiaomi kamere kotak gitu;netral;2024-11-05T14:21:17Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@a.rider1026;Wah boleh juga nih Xiaomi 15 buat temenin Xiaomi 13T ??;positif;2024-11-05T14:07:30Z;5;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@royadinglibir7236;Gila layar isi ny layar semua,full power;positif;2024-11-05T13:50:08Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@fathul5;Chipsetnya terlalu OP cuma buat maen Genshin??????;negatif;2024-11-05T13:46:18Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@garudakenzhieraffles8144;ya Allah nabung buat Xiaomi 14ultra adj baru dapat separo eh dah muncul Xiaomi 15?? gimana nich;netral;2024-11-05T13:10:35Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Jooo_Short;"Sejauh itu kah turun harganya 
Kemarin pas Xiaomi 14 rilis 
Harganya bisa 14juta 
Yang varian 8/256 

Kok skrng beda jauh banget perbandingan harga nya";negatif;2024-11-05T13:09:16Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@darkerhertkko;"Wajib cooler sih ini chipset baru
Dengan tenaga nya yg ga bisa santai, jangan harap bisa adem 
Sayangi mobo nya ??";negatif;2024-11-05T12:57:28Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@HalimaFaryato;Masih setia mau upgrade ke vivo x 200 pro sekarang udah pake 14 t pro;negatif;2024-11-05T12:55:25Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@budipristel8083;Lebih smooth vivo x200 kayakny klo soal perpindahan antar kamera;negatif;2024-11-05T12:52:21Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Guffonka;Hp mahal mahal tapi masih banyak iklan;negatif;2024-11-05T12:51:01Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@agielindraatmajaya7326;kencang tp bentuk tidak menarik, dan napas naga bikin panas. hahahaha??;negatif;2024-11-05T12:50:56Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ghaliafra7142;Siap borong selusin;positif;2024-11-05T12:45:30Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Hiirham;semoga aja kedepannya banyak flagship yang compact lagi,kalo 6,7 ga masuk di kantong celana kaku buat ngelakuin hal ini itu;netral;2024-11-05T12:38:57Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@dlyricsyt5501;Model kamera gitu lagi ??;netral;2024-11-05T12:37:42Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@akagami.9383;Mantap bang hp impian ??;positif;2024-11-05T12:11:41Z;1;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ahmadkun69;Anjir desain cuma pindah lampu flash;negatif;2024-11-05T12:01:52Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Iamnotzayn;nah gini doong , BUKAN HP SEGEDE GABAN;positif;2024-11-05T12:01:38Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@frasticadefana5819;Mending xiaomi bang??;positif;2024-11-05T11:57:12Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@RKsatrian;NAKSIR SAMA VIVO X200 PRO MINI ??;negatif;2024-11-05T11:57:09Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@pewangs;Ngeri gitu chipsetnya. Mau dong next tawuran chipset, tambahin test emulation (yg udah punya gamenya aja, di platform lain supaya tidak terkesan membajak??);positif;2024-11-05T11:55:28Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ivanjonesaditya;"Gila, hp skrg batrenya makin gede tapi body tetep tipis, compact layar juga bezzelnya tipis
Keren sih perkembangan gadget ditahun ini";positif;2024-11-05T11:53:16Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@awings.chanel;Suka bentuk compact nya... Semoga ada pesaing hp kecil seperti asus;positif;2024-11-05T11:51:37Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ibamm746;Gila ini xiaomi cui, saingan berat ni sma brand sebelah.. maen genshin cuman dpt suhu 41.. termasuknya masi adem...;positif;2024-11-05T11:36:40Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@sky-gk1wx;kenapa design kompornya di pertahankan;negatif;2024-11-05T11:27:53Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Kangoday912;Bagus bgt cameranya;positif;2024-11-05T11:22:08Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@esapebriansa7935;Mantap..... ????;positif;2024-11-05T10:59:16Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@mistycalglory99;hp yg d tunggu2,,??;positif;2024-11-05T10:57:12Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@User-pc3000;seperti biasa +, harga akan naik 20%;netral;2024-11-05T10:52:39Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@imamfaozi933;Banyak iklanya ngga koh?;netral;2024-11-05T10:51:46Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@gardianachannel8307;Kompor 4 tungku ??;negatif;2024-11-05T10:31:39Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@WisnuVlog-yw2ed;Mantap bang;positif;2024-11-05T10:30:37Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@sweetpotato3910;Gila 16GB / 1TB cuma 12 juta?? kalau di sumsang sama si buah itu harganya bisa 20 jutaan????;positif;2024-11-05T10:23:11Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@LilacSeventen;"Anjir Xiaomi 15 makin edan aja nih, dgn bodi yg sama dgn Xiaomi 14 tp dgn kapasitas batere diatas 5000mAh ajib bener.
Jd nambah galau lg nih next mau up ke Vivo X200 Pro Mini atau Xiaomi 15 ?????
Kira² bakal ada isu kemera berembun lg ga ya di Xiaomi 15 ??";positif;2024-11-05T09:59:06Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@davidariyan7915;Design yang tidak menarik, bagusan poco f5;negatif;2024-11-05T05:25:19Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@setyaa4492;Mau belii;positif;2024-11-05T05:24:50Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@yosuasitanggang5859;Mantepp, bakal masuk Indonesia gak koh?;positif;2024-11-05T05:24:15Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@ogaladewaoga799;Keren;positif;2024-11-05T05:21:21Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@Phi.solsol;Aaaaaaa mau hp Compact;positif;2024-11-05T05:20:40Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@MasOne88;kameranya kemarin masih bagusan VIVO X200;negatif;2024-11-05T05:20:20Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
@rdanz7529;Mantap;positif;2024-11-05T05:05:42Z;0;Xiaomi 15;Xiaomi;Flagship;2025;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
